ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
AVLL12,2019,-153.1077,-8.23237E+8,-501.3624,1.642E+8,3.043169E+9,,,,,
AVLL12,2020,-105.8214,-4.19765E+8,-232.9414,1.80202E+8,2.196577E+9,,,,,
AVLL12,2021,-2982.9478,-3.81698E+8,-167.4841,2.27901E+8,2.137833E+9,,,,,
AVLL12,2022,104.6504,-4.10715E+8,-154.9085,2.65134E+8,2.579317E+9,,,,,
AVLL12,2023,75.2812,-5.80969E+8,-122.4593,4.74418E+8,4.76076E+9,,,,,
AVLL12,2024,-267.8045,8.5202E+7,12.5513,6.78829E+8,2.043913E+9,,,,,
AVLL3,2019,-153.1077,-8.23237E+8,-501.3624,1.642E+8,3.043169E+9,,,,,
AVLL3,2020,-105.8214,-4.19765E+8,-232.9414,1.80202E+8,2.196577E+9,,,,,
AVLL3,2021,-2982.9478,-3.81698E+8,-167.4841,2.27901E+8,2.137833E+9,,,,,
AVLL3,2022,104.6504,-4.10715E+8,-154.9085,2.65134E+8,2.579317E+9,,,,,
AVLL3,2023,75.2812,-5.80969E+8,-122.4593,4.74418E+8,4.76076E+9,,,,,
AVLL3,2024,-267.8045,8.5202E+7,12.5513,6.78829E+8,2.043913E+9,,,,,
AXIA3,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA3,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA3,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA3,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA3,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA3,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
AXIA5,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA5,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA5,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA5,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA5,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA5,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
AXIA6,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA6,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA6,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA6,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA6,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA6,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
AXIA7,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA7,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA7,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA7,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA7,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA7,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
AXIA98,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA98,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA98,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA98,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA98,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA98,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
